,Price,Address,Prop_type,Size,Bath,Bed
134, 1 400 €  /  Monthly  ," Lisboa -   Lisboa, Ajuda  ",Condo/Apartment,  87 m2 ,  1 ,  2 
135, 600 €  /  Monthly  ," Lisboa -   Odivelas, Pontinha e Famões  ",House,  28 m2 ,  1 ,  1 
136, 850 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Others - Commercial,  50 m2 ,  1 ,  -- 
137, 2 000 €  /  Monthly  ," Lisboa -   Torres Vedras, Silveira  ",House,  165 m2 ,  3 ,  3 
138, 2 250 €  /  Monthly  ," Lisboa -   Sintra, Queluz e Belas  ",Duplex,  135 m2 ,  4 ,  4 
139, 1 300 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Vila Franca de Xira  ",Condo/Apartment,  81 m2 ,  2 ,  3 
140, 1 500 €  /  Monthly  ," Lisboa -   Lisboa, Misericórdia  ",Condo/Apartment,  75 m2 ,  1 ,  3 
141, 1 450 €  /  Monthly  ," Lisboa -   Lisboa, Parque das Nações  ",Condo/Apartment,  120 m2 ,  2 ,  2 
142, 1 450 €  /  Monthly  ," Lisboa -   Lisboa, Areeiro  ",Condo/Apartment,  109 m2 ,  2 ,  3 
143, 650 €  /  Monthly  ," Lisboa -   Sintra, Queluz e Belas  ",Store,  87 m2 ,  2 ,  -- 
144, 1 250 €  /  Monthly  ," Lisboa -   Sintra, Massamá e Monte Abraão  ",Condo/Apartment,  102 m2 ,  2 ,  3 
145, 200 €  /  Monthly  ," Lisboa -   Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães  ",Business Office,  35 m2 ,  1 ,  -- 
146, 1 600 €  /  Monthly  ," Lisboa -   Torres Vedras, A dos Cunhados e Maceira  ",House,  172 m2 ,  0 ,  3 
147, 2 250 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  134 m2 ,  3 ,  4 
148, 1 800 €  /  Monthly  ," Lisboa -   Alenquer, Olhalvo  ",House,  272 m2 ,  4 ,  3 
149, 1 100 €  /  Monthly  ," Lisboa -   Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)  ",Condo/Apartment,  87 m2 ,  2 ,  1 
150, 500 €  /  Monthly  ," Lisboa -   Sintra, Algueirão-Mem Martins  ",Store,  58 m2 ,  2 ,  -- 
151, 400 €  /  Monthly  ," Lisboa -   Vila Franca de Xira, Vialonga  ",Store,  91 m2 ,  0 ,  -- 
152, 600 €  /  Monthly  ," Lisboa -   Loures, Moscavide e Portela  ",Store,  38 m2 ,  1 ,  -- 
153, 850 €  /  Monthly  ," Lisboa -   Sintra, Rio de Mouro  ",Condo/Apartment,  61 m2 ,  1 ,  2 
154, 1 200 €  /  Monthly  ," Lisboa -   Amadora, Encosta do Sol  ",Condo/Apartment,  90 m2 ,  2 ,  3 
155, 700 €  /  Monthly  ," Lisboa -   Sintra, Casal de Cambra  ",Condo/Apartment,  61 m2 ,  1 ,  2 
156, 2 250 €  /  Monthly  ," Lisboa -   Cascais, Alcabideche  ",Condo/Apartment,  84 m2 ,  3 ,  2 
157, 1 100 €  /  Monthly  ," Lisboa -   Lisboa, Benfica  ",Condo/Apartment,  70 m2 ,  1 ,  2 
158, 2 100 €  /  Monthly  ," Lisboa -   Lisboa, Campolide  ",Condo/Apartment,  142 m2 ,  3 ,  3 
159, 700 €  /  Monthly  ," Lisboa -   Sintra, Cacém e São Marcos  ",Condo/Apartment,  80 m2 ,  1 ,  2 
160, 1 350 €  /  Monthly  ," Lisboa -   Lisboa, Benfica  ",Condo/Apartment,  120 m2 ,  2 ,  3 
161, 1 200 €  /  Monthly  ," Lisboa -   Odivelas, Ramada e Caneças  ",Warehouse,  215 m2 ,  0 ,  0 
162, 1 500 €  /  Monthly  ," Lisboa -   Odivelas, Ramada e Caneças  ",Warehouse,  215 m2 ,  0 ,  0 
163, 2 650 €  /  Monthly  ," Lisboa -   Cascais, São Domingos de Rana  ",House,  128 m2 ,  6 ,  3 
164, 1 650 €  /  Monthly  ," Lisboa -   Cascais, Carcavelos e Parede  ",Condo/Apartment,  67 m2 ,  2 ,  2 
165, 3 250 €  /  Monthly  ," Lisboa -   Mafra, Mafra  ",House,  277 m2 ,  0 ,  4 
166, 1 100 €  /  Monthly  ," Lisboa -   Loures, Santo António dos Cavaleiros e Frielas  ",Condo/Apartment,  65 m2 ,  1 ,  2 
