Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
1490000,358,4,3,0,0,0,1,0,3847.852496967622
250000,120,2,5,0,0,1,0,0,1501.2827917612262
49000,455,0,3,0,0,1,0,0,3852.459992445958
532000,96,0,3,0,0,1,0,0,875.8189912503874
295500,108,0,2,0,0,1,0,0,901.2416004419912
262000,113,0,3,0,0,1,0,0,1016.7741361537988
139500,57,1,3,0,0,1,0,0,691.610316643592
220000,89,1,3,0,0,1,0,0,956.937648226484
215000,156,0,3,0,0,1,0,0,1373.30773796831
125000,101,0,3,0,0,1,0,0,917.2763868102143
135000,41,0,1,0,0,0,1,0,514.6672951312194
12500,45,0,1,0,0,1,0,0,304.8032762361919
380000,207,3,4,0,0,1,0,0,2287.725345110088
325000,158,2,2,0,0,1,0,0,1594.1335775599687
800000,351,5,3,0,0,1,0,0,3685.9412186008303
125000,86,1,3,0,0,1,0,0,932.0632108905879
590000,245,3,4,0,0,1,0,0,2602.801551364772
300000,129,2,3,0,0,1,0,0,1427.7558234649534
190000,651,4,7,0,0,1,0,0,6330.526502038511
265000,108,2,3,0,0,1,0,0,1253.6347621136806
280000,50,2,2,0,0,1,0,0,698.6538334677081
259000,104,2,3,0,0,1,0,0,1220.4688456658191
155000,180,0,4,0,0,1,0,0,1646.3783768074597
45000,130,1,2,0,0,1,0,0,1222.8131516650838
182500,83,2,2,0,0,1,0,0,972.2726441625655
397000,220,0,4,0,0,1,0,0,1978.0375412860744
320000,125,4,3,0,0,1,0,0,1672.9079285368005
615000,114,3,4,0,0,0,1,0,1759.6477230401968
165000,129,1,3,0,0,1,0,0,1288.5968127050992
215000,182,2,3,0,0,1,0,0,1867.2042163991184
185000,106,3,2,0,0,1,0,0,1302.1356744976233
189900,141,0,3,0,0,1,0,0,1248.9355512888292
95000,146,3,3,0,0,1,0,0,1707.869979128219
325000,200,3,4,0,0,1,0,0,2229.68499132633
290000,540,2,3,0,0,1,0,0,4835.553738482723
395000,177,4,3,0,0,1,0,0,2104.064842359
275000,148,3,3,0,0,1,0,0,1724.4529373521498
380000,160,0,3,0,0,1,0,0,1406.4736544161715
128000,135,1,2,0,0,1,0,0,1264.2705472249106
285000,296,1,3,0,0,0,1,0,2916.303759746206
130000,170,2,3,0,0,1,0,0,1767.706467055534
590000,554,4,6,0,0,1,0,0,5452.177888025889
450000,400,5,4,0,0,1,0,0,4166.298835239114
1150000,2000,0,8,0,0,1,0,0,17033.170921192366
58000,548,0,2,0,0,1,0,0,4549.492409706757
50000,50,1,2,0,0,1,0,0,559.4948227078537
55000,50,2,3,0,0,1,0,0,772.7289736196888
210000,55,0,2,0,0,1,0,0,461.7932075078263
750000,200,5,4,0,0,1,0,0,2508.0030128460385
372000,210,4,3,0,0,0,1,0,2620.7135883967467
185000,157,1,5,0,0,1,0,0,1668.9085081440908
475000,155,3,3,0,0,1,0,0,1782.4932911359074
175000,99,2,2,0,0,1,0,0,1104.9363099540114
360000,237,0,5,0,0,0,1,0,2436.0977616843556
325000,182,5,3,0,0,1,0,0,2284.681248678681
295000,184,3,3,0,0,1,0,0,2022.9461853829034
439900,280,5,5,0,0,1,0,0,3245.3964819552493
265500,150,3,3,0,0,1,0,0,1741.0358955760805
470000,214,4,4,0,0,1,0,0,2484.924709653699
400000,326,4,3,0,0,1,0,0,3339.4952300418418
212000,110,2,2,0,0,1,0,0,1196.1425801856305
210000,125,2,2,0,0,1,0,0,1320.5147668651111
480000,301,4,3,0,0,1,0,0,3132.208252242707
325000,167,3,3,0,0,1,0,0,1881.991040479492
235000,180,0,3,0,0,1,0,0,1572.303236655479
268000,202,3,3,0,0,1,0,0,2172.19280939828
280000,184,3,3,0,0,1,0,0,2022.9461853829034
595000,247,5,3,0,0,1,0,0,2823.6273909564306
600000,307,0,6,0,0,1,0,0,2847.546504331024
245000,117,0,3,0,0,0,1,0,1292.9699879445493
50000,156,1,1,0,0,1,0,0,1364.3164684242029
247000,190,3,3,0,0,1,0,0,2072.6950600546957
350000,140,2,3,0,0,1,0,0,1518.9620936965725
129800,68,1,2,0,0,1,0,0,708.7414467232304
1199000,310,6,5,0,0,0,1,0,3876.329801416953
405000,288,5,4,0,0,1,0,0,3237.653174698992
267000,348,3,4,0,0,1,0,0,3456.8238998972056
107000,139,0,2,0,0,1,0,0,1158.2774529129179
235000,206,2,4,0,0,1,0,0,2140.274855238268
160000,80,0,2,0,0,1,0,0,669.0801853069606
275000,167,2,5,0,0,1,0,0,1890.9823100235992
194500,159,0,2,0,0,1,0,0,1324.1070351522253
300000,240,2,4,0,0,1,0,0,2422.185145045091
169000,231,0,4,0,0,1,0,0,2069.2438115176938
329900,257,3,3,0,0,1,0,0,2628.224160556376
240000,165,2,4,0,0,1,0,0,1800.3242116476877
800000,978,3,6,0,0,1,0,0,8828.606020739353
162000,208,2,2,0,0,0,1,0,2251.7374685011264
