Price,Prop_type,Size,Bath,Bed,City,Division
320000,1,125,4,3,Marco de Canaveses, Paredes de Viadores e Manhuncelos  
615000,1,114,3,4,Porto, Bonfim  
165000,1,129,1,3,Amarante, Vila Garcia
215000,1,182,2,3,Trofa, Bougado (São Martinho e Santiago)  
185000,1,106,3,2,Valongo, Valongo  
189900,1,141,0,3,Maia, Nogueira e Silva Escura  
95000,1,146,3,3,Vila Nova de Gaia, Sandim
325000,1,200,3,4,Marco de Canaveses, Sobretâmega  
290000,1,540,2,3,Marco de Canaveses, Marco  
395000,1,177,4,3,Trofa, Coronado (São Romão e São Mamede)  
275000,1,148,3,3,Santo Tirso, Santo Tirso
380000,1,160,0,3,Vila do Conde, Vila do Conde  
128000,1,135,1,2,Baião, Gestaçô  
285000,1,296,1,3,Porto, Campanhã  
130000,1,170,2,3,Lousada, Silvares
590000,1,554,4,6,Amarante, Gondar  
450000,1,400,5,4,Santo Tirso, Carreira e Refojos de Riba de Ave  
1150000,1,2000,0,8,Santo Tirso, Carreira e Refojos de Riba de Ave  
58000,1,548,0,2,Santo Tirso, Santo Tirso
50000,1,50,1,2,Lousada, Silvares
55000,1,50,2,3,Lousada, Silvares
210000,1,55,0,2,Matosinhos, Custóias
750000,1,200,5,4,Santo Tirso, Carreira e Refojos de Riba de Ave  
372000,1,210,4,3,Porto, Campanhã  
185000,1,157,1,5,Santo Tirso, Rebordões  
475000,1,155,3,3,Matosinhos, Perafita
175000,1,99,2,2,Valongo, Valongo  
360000,1,237,0,5,Porto, Paranhos  
325000,1,182,5,3,Matosinhos, Custóias
295000,1,184,3,3,Maia, Castêlo da Maia  
439900,1,280,5,5,Vila Nova de Gaia, São Felix da Marinha  
265500,1,150,3,3,Marco de Canaveses, Paredes de Viadores e Manhuncelos  
470000,1,214,4,4,Gondomar, Gondomar (São Cosme)
400000,1,326,4,3,Felgueiras, Sendim  
212000,1,110,2,2,Santo Tirso, Santo Tirso
210000,1,125,2,2,Vila Nova de Gaia, Canelas  
480000,1,301,4,3,Vila Nova de Gaia, Madalena  
325000,1,167,3,3,Vila do Conde, Mindelo  
235000,1,180,0,3,Felgueiras, Airães  
268000,1,202,3,3,Penafiel, Irivo  
280000,1,184,3,3,Gondomar, Gondomar (São Cosme)
595000,1,247,5,3,Maia, Cidade da Maia  
600000,1,307,0,6,Gondomar, Melres e Medas  
245000,1,117,0,3,Porto, Aldoar
50000,1,156,1,1,Paços de Ferreira, Sanfins Lamoso Codessos  
247000,1,190,3,3,Penafiel, Termas de São Vicente  
350000,1,140,2,3,Vila Nova de Gaia, Pedroso e Seixezelo  
129800,1,68,1,2,Maia, Cidade da Maia  
1199000,1,310,6,5,Porto, Aldoar
405000,1,288,5,4,Gondomar, Gondomar (São Cosme)
267000,1,348,3,4,Felgueiras, Friande  
107000,1,139,0,2,Santo Tirso, Aves  
235000,1,206,2,4,Lousada, Silvares
160000,1,80,0,2,Marco de Canaveses, Marco  
275000,1,167,2,5,Marco de Canaveses, Sobretâmega  
194500,1,159,0,2,Maia, Pedrouços  
300000,1,240,2,4,Matosinhos, Perafita
169000,1,231,0,4,Maia, Castêlo da Maia  
329900,1,257,3,3,Valongo, Campo e Sobrado  
240000,1,165,2,4,Vila Nova de Gaia, Serzedo e Perosinho  
800000,1,978,3,6,Felgueiras, Jugueiros  
162000,1,208,2,2,Porto, Bonfim  
82500,1,53,1,3,Felgueiras, Vila Cova da Lixa e Borba de Godim  
349000,1,196,3,3,Penafiel, Penafiel  
390000,1,154,3,3,Maia, Cidade da Maia  
265000,1,132,2,3,Porto, Cedofeita
279000,1,176,0,3,Santo Tirso, Rebordões  
262500,1,237,2,3,Gondomar, Baguim do Monte  
395000,1,180,3,3,Vila do Conde, Vilar de Pinheiro  
390000,1,209,5,5,Penafiel, Valpedre  
445000,1,632,6,7,Lousada, Lustosa e Barrosas (Santo Estêvão)  
176000,1,177,1,3,Santo Tirso, Monte Córdova  
78500,1,90,1,4,Paços de Ferreira, Sanfins Lamoso Codessos  
129500,1,90,1,4,Paços de Ferreira, Sanfins Lamoso Codessos  
52500,1,90,1,2,Baião, Campelo e Ovil  
42500,1,80,1,1,Baião, Campelo e Ovil  
15000,1,62,0,2,Baião, Campelo e Ovil  
130000,1,270,0,3,Baião, Campelo e Ovil  
750000,1,389,6,4,Vila Nova de Gaia, Arcozelo  
99500,1,72,1,2,Penafiel, Guilhufe e Urrô  
89500,1,97,1,2,Penafiel, Guilhufe e Urrô  
425000,1,212,3,5,Vila Nova de Gaia, Gulpilhares e Valadares  
399990,1,157,3,3,Vila do Conde, Vila do Conde  
950000,1,180,2,4,Vila Nova de Gaia, Pedroso e Seixezelo  
205000,1,160,1,3,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
278000,1,180,3,3,Marco de Canaveses, Soalhães  
349900,1,273,3,3,Matosinhos, Perafita
159000,1,78,0,2,Gondomar, Gondomar (São Cosme)
240000,1,360,4,4,Amarante, Vila Meã  
219500,1,200,3,3,Santo Tirso, Rebordões  
389900,1,161,3,4,Vila do Conde, Gião  
128000,1,18,2,0,Porto, Cedofeita
155000,1,95,1,2,Lousada, Macieira  
235000,1,269,1,2,Matosinhos, Perafita
249500,1,294,2,4,Trofa, Alvarelhos e Guidões  
120000,1,1652,4,4,Santo Tirso, Rebordões  
480000,1,211,0,4,Vila Nova de Gaia, Arcozelo  
490000,1,220,2,4,Matosinhos, Perafita
365000,1,180,4,4,Gondomar, Baguim do Monte  
424500,1,225,3,3,Trofa, Bougado (São Martinho e Santiago)  
320000,1,160,4,3,Gondomar, Rio Tinto  
299500,1,492,3,5,Felgueiras, Sendim  
155000,1,258,1,2,Santo Tirso, Santo Tirso
465000,1,170,3,3,Penafiel, Paço de Sousa  
1100000,1,250,5,6,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
180000,1,204,2,3,Amarante, Fregim  
289000,1,168,3,3,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
