Price,Address,Prop_type,Size,Bath,Bed
 170 000 € ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",House,  132 m2 ,  3 ,  3 
 374 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  73 m2 ,  2 ,  2 
 180 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  90 m2 ,  2 ,  3 
 285 000 € ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",House,  230 m2 ,  4 ,  3 
 265 000 € ," Porto -   Felgueiras, Idães  ",House,  392 m2 ,  0 ,  3 
 185 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  55 m2 ,  1 ,  2 
 147 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  36 m2 ,  1 ,  1 
 150 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  35 m2 ,  1 ,  1 
 157 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  36 m2 ,  1 ,  1 
 155 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  32 m2 ,  1 ,  1 
 160 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  35 m2 ,  1 ,  1 
 147 000 € ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",House,  36 m2 ,  1 ,  1 
 495 000 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  390 m2 ,  3 ,  6 
 82 500 € ," Porto -   Felgueiras, Pombeiro de Ribavizela  ",House,  136 m2 ,  1 ,  2 
 185 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  115 m2 ,  1 ,  2 
 150 000 € ," Porto -   Paços de Ferreira, Raimonda  ",House,  124 m2 ,  1 ,  3 
 485 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  154 m2 ,  3 ,  3 
 160 000 € ," Porto -   Felgueiras, Aião  ",House,  168 m2 ,  2 ,  3 
 449 000 € ," Porto -   Porto, Paranhos  ",House,  185 m2 ,  4 ,  3 
 230 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  180 m2 ,  3 ,  3 
 495 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  280 m2 ,  5 ,  5 
 110 000 € ," Porto -   Felgueiras, Torrados e Sousa  ",House,  419 m2 ,  2 ,  0 
 1 095 000 € ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",House,  428 m2 ,  7 ,  4 
 215 000 € ," Porto -   Lousada, Nespereira e Casais  ",House,  112 m2 ,  2 ,  3 
 269 000 € ," Porto -   Vila Nova de Gaia, Pedroso e Seixezelo  ",House,  1946 m2 ,  5 ,  3 
 100 000 € ," Porto -   Penafiel, Croca  ",House,  131 m2 ,  1 ,  2 
 262 500 € ," Porto -   Matosinhos, Custóias, Leça do Balio e Guifões  ",House,  140 m2 ,  2 ,  5 
 549 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  312 m2 ,  4 ,  5 
 549 000 € ," Porto -   Matosinhos, Perafita, Lavra e Santa Cruz do Bispo  ",House,  312 m2 ,  4 ,  5 
 270 000 € ," Porto -   Gondomar, Foz do Sousa e Covelo  ",House,  183 m2 ,  3 ,  3 
 949 000 € ," Porto -   Vila Nova de Gaia, Canidelo  ",House,  350 m2 ,  4 ,  3 
