Price,Address,Prop_type,Size,Bath,Bed
 2 250 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  160 m2 ,  3 ,  4 
 750 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Business Office,  75 m2 ,  1 ,  0 
 1 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  123 m2 ,  2 ,  2 
 800 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  44 m2 ,  1 ,  0 
 750 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  100 m2 ,  2 ,  -- 
 730 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  66 m2 ,  1 ,  1 
 650 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Gulpilhares e Valadares  ",Store,  118 m2 ,  0 ,  -- 
 850 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Condo/Apartment,  83 m2 ,  1 ,  2 
 1 200 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  59 m2 ,  0 ,  1 
 700 €  /  Monthly  ," Porto -   Amarante, Amarante (São Gonçalo), Madalena, Cepelos e Gatão  ",Condo/Apartment,  131 m2 ,  1 ,  1 
 400 €  /  Monthly  ," Porto -   Paredes, Paredes  ",Store,  120 m2 ,  2 ,  -- 
 800 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Condo/Apartment,  45 m2 ,  1 ,  0 
 350 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Sandim, Olival, Lever e Crestuma  ",Store,  91 m2 ,  1 ,  -- 
 950 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  41 m2 ,  1 ,  -- 
